word,explanation,example_sentence
assume,"(証拠はないが)…を本当のことと思う, を仮定する,推測する / 《かたく》(役目・任務・責任など)を引き受ける, 〈責任〉を負う",I assume you are coming to the party tonight.
astronomer,天文学者,The astronomer spent his entire night observing the stars.
athletic,"運動競技の;運動家の,運動家らしい  / 強健な",He is very athletic and excels in various sports.
Atlantic,『大西洋の』 / 《the ~》『大西洋』,The Atlantic Ocean is known for its vastness and depth.
atmosphere,"〈C〉《the ~》(地球を取り巻く)大気 / (特定の場所の) 空気 / 雰囲気, 環境, 周囲の状況",The atmosphere in the room was tense.
atomic,原子の / 原子力の / 極微の,The atomic structure of the material was complex.
attach,"《...に》 ...をつける, を取り付ける 《to ...》 / 《...に》 付属する, 所属する 《to ...》",Please attach the document to the email.
attachment,"〈U〉《...への》取り付け, 付着《to ...》〈C〉《...の》付属品《to/for ...》 / 《...への》愛着, 愛情《for ...》",Please check the attachment for more details.
attain,を達成する；に達する / 《...に》到達する《to》,"With hard work and dedication, you can attain your goals."
attempt,"を企てる, を試みる",I will attempt to finish the project by tomorrow.
attend,に出席する  / の世話をする / 《...に》注意する《to》/ 《...に》励む《to》,I will attend the meeting tomorrow.
attract,"(物理的な力で)…'を'引きつける,引き寄せる  / 〈人,人の注意・興味など〉'を'引きつける,誘う",I'm attracted to him.
attraction,"〈U〉魅力；引きつける力[性質]；〈C〉人を引きつける物[人]； 吸引, 誘引; 引力","His attraction lies in his character, not his looks."
authority,"〈U〉(地位の持つ,また職能上与えられた)権威,権力,権限,権能  / 〈C〉権力者,権限者;《複数形で》当局,その筋,官庁  / 〈C〉(情報・助言などの)信頼すべき筋,信頼できる根拠;典拠  / 〈C〉(その道の)大家,権威(expert)《+on+名》",The mayor has the authority to make decisions for the city.
auxiliary,"補助の,副の《文法》 / 助動詞([[auxiliary verb]])",The teacher provided auxiliary materials to help the students understand the lesson.
available,"利用できる, 役に立つ / (品物・情報などが) 手にはいる / (人が)手があいている / (法律が)効力のある",The room is available for rent.
avenue,"(門から家に向かう)『並木道』 / (都市の)『大通り』,『街路』,…街 / (…に)近づく道(手段)《+『to』+『名』》",The avenue leading from the gate to the house was lined with beautiful trees.
award,"(審査して) 《...に》 〈賞など〉を与える,を授ける 《to ...》",The film was awarded the best picture at the festival.
aware,知っている / 気づいている,I was not aware of the changes until now.
awareness,"〈U〉自覚, 認識 /  《...に》気づいていること《of ...》, 《...であることに》気づいていること《that節》",Push marketing attempts to build awareness of a product among the general population.
awesome,畏敬の念を起こさせる;恐ろしい / 畏敬の念に満ちた;うやうやしい 素晴らしい,The view from the top of the mountain was absolutely awesome.
awkward,"気まずい / (人・動作などが) ぶかっこうな, ぎこちない / (物が) 扱いにくい / (状態・問題などが) やっかいな",He felt awkward standing alone in the crowded room.
babysit,"ベビーシッターをする,子守をする / 世話をする",I am supposed to babysit the children tonight.
babysitter,留守番の子守り(おもに女子中学生・高校生のアルバイト),"My neighbor's daughter, a high school student, works part-time as a babysitter."
back,"〈車など〉'を'後退させる  / (…で)〈人・計画など〉'を'後援する,支持する(support)《+名+in+名》 / 後ずさりする,後退する(move backward)",She managed to back up through the narrow driveway.
backache,背の痛み,I have been suffering from a severe backache since yesterday.
backpack,背のう(リュックサック・ナップサックなど),I always carry my laptop in my backpack.
backpacker,バックパッカー,He has been traveling around different countries as a backpacker.
backpacking,バックパック(を背負っての)旅行,I stayed at a hostel during my backpacking trip.
bacon,『ベーコン』,I love the crispy texture of bacon.
baggage,〈U〉手荷物 / おてんば娘,My baggage is missing.
baker,"パン屋,パン焼き職人",The baker is preparing fresh bread early in the morning.
bakery,"パン製造所,パン屋",I bought a delicious loaf of bread from the local bakery.
balance,"〈C〉天秤,はかり〈U〉〈C〉釣り合い,均衡 / 調和, 残高",The balance of nature is very fragile.
bald,"(頭が)『はげた』,(人が)『はげ頭の』 / (山に樹木がなくて)裸の,(木に)葉のない / (文体など)単調な,飾りのない / あからさまな,露骨な;隠し立てのない",My uncle is bald.
bandage,包帯,I need a bandage for my wound.
bang,"〈C〉バンという音 /  バンという一撃（強打） /  おかっばにした前髪, 切り下げ前髪 (また《英》fringe)",The loud bang startled me.
bang,"…をバンと打つ, 《...に》...をバンと打ちつける 《on, against, at ...》 / バンと音を立てる /  〈前髪〉を切り下げにする",He banged the door in anger.
bank account,"銀行勘定,当座預金",I need to deposit some money into my bank account.
bar,〈他〉〈戸・門など〉にかんぬきをさす / 〈道・通行など〉を妨げる,The heavy rain will likely bar our plans for a picnic.
barbecue,〈食用肉〉'を'じか火で焼く;…'を'濃く味つけしたソースで料理する,Dad was outside barbecuing in the yard.
bare,"裸の,おおいのない / からの/ ありのままの / かろうじての","The baby was sleeping soundly, bare and innocent."
barely,"ほとんど...ない / かろうじて, わずかに, やっと / むきだしに, あからさまに",I barely managed to catch the last train.
bark,"〈C〉 (犬・アザラシなどの)ほえ声 / どなり声 / 砲声,銃声",The loud bark of the dog startled me.
barman,〈C〉 (男性の)バーテンダー（[[bartender]]）,The barman mixed a delicious cocktail for me.
barrel,"(胴のふくれた)たる  / (…の)1たる[の量]《+of+名》  / 銃身,砲身  / 《単数扱い》(…の)多量《+of+名》《話》",The wine was aged in a large oak barrel.
base,"《...に》...の基礎をおく 《on, upon ...》",The story is based on fact.
basement,"地階,地下室",I found an old photo album in the basement.
basin,"たらい,はぢ(bowl);洗面器  / (…の)たらい1杯[分]《+of+名》  / (自然または人工の)水たまり,池  / (川の)流域;くぼ地,盆地  / 入江,内湾,船だまり",Please fill the basin with water.
basis,"〈C〉《考えなどの》 基礎 《of, for ...》 / 基準, ...制 / (議論などの) 根拠 / (混合物の)主成分",The basis of his argument was fundamentally flawed.
bat,〈C〉コウモリ,I saw a bat flying in the night sky.
bathe,"《米》〈子供など〉を入浴させる / …を浸す,を洗う / 《米》入浴する / 《おもに英》水泳する","Every evening, I bathe my children before they go to bed."
battle,"〈C〉(個々の)戦闘,戦い;〈U〉戦争  / 〈C〉闘争  / 〈U〉《the~》勝利;成功",The battle was fierce and lasted for hours.
beard,〈C〉(人や動物の)あごひげ / (一般に)ひげ状のもの,He decided to grow a beard.
beast,"《文》(人間以外の)『動物』,(特に鳥・魚に対して)四足獣;(人間に対する)『けもの』,畜生 / (けもののように)粗暴な人 / 《英話》《~a》(…の)とてもいやなこと(物)《+『of』+『名』》",The beast in the forest was actually a harmless animal.
beat,"(連続して)…をたたく,打つ([[pound]])  / 《…に》…をたたきつける,打ちつける《against ...》  / 《…に》…をたたいて作る《into ...》;〈金属〉を打ち延ばす  / …を勢いよくかき混ぜる  / 〈リズム・拍子〉を手をたたいてとる  / 〈道〉を踏み固めて作る  / 《話》〈人〉を困らせる  / 〈風・雨・波などが〉《…に》打ちつける《at, against,in,on ...》  / 〈心臓・脈が〉鼓動する,脈打つ  / ドンドン鳴る  / 〈船が〉風に逆らってジグザグに進む  / 打ち負かす",He beat the drum continuously.
beautifully,美しく / みごとに,The sun sets beautifully over the horizon.
because of,"(直接的な原因・理由として)～のために,～のせいで",The train was delayed because of snow.
bedside,寝床の側…(病人の)まくら元 / 寝床のぞばの,She came hurrying to his bedside.
behalf,味方 / 利益 / 《on ~ of A》 Aの代理で,I am speaking on behalf of my friend.
behave,ふるまう / 行儀よくする,You should behave properly in public places.
belief,"〈U〉信念 / 《...への》信頼《in ...》 / (あるものの真実性・存在を)信じること,容認《in ...》 / 〈U〉〈C〉《...への》信仰《in ...》",His belief in himself has led him to success.
beloved,"最愛の,非常に愛されている",My beloved cat is always by my side.
beneath,"...の下に；...の圧力下に,...に支配されて；...より劣って；...に値しない",The cat is sleeping peacefully beneath the old oak tree.
benefit,"〈C〉〈U〉ためになること(もの),利益,恩恵  / 〈C〉(国家などにより支払われる)給付金,手当  / 〈U〉慈善興行,募金興行",Regular exercise has many benefits for our health.
bent,"bendの過去・過去分詞 / 曲がった / 《補語にのみ用いて》(…の)決心をした,(…に)熱中した《+on+名(doing)》 / 《英俗》不正直な",Grandmother is bent double with age.
besides,"...に加えて, ...のほかにも / 《否定文・疑問文で》 ...を除いて, ...以外にも","Besides studying, I also work part-time."
bet,〈金・物〉'を'かける  / (かけ事・ゲームなどで)〈人〉‘と'かけをする《+名〈人〉+on+名》  / (…に)かける《+on(against)+名(one's doing)》,I wouldn't bet on his success in the competition.
bilingual,2つの言語を話す,My cousin is bilingual; she can speak both English and Spanish fluently.
bill,…に《…の》勘定書(請求書)を送る《for ...》 / ポスター(ビラ)で宣伝する,Please bill us separately.
bin,(穀物・石炭などを入れる)ふたつきの大箱  / (れんがなどで仕切った)貯蔵所,The farmer stored the harvested wheat in a large bin.
biochemistry,生化学,I am studying biochemistry at the university.
biography,〈C〉伝記 / 経歴 / 《集合的に》伝記文学,I am currently reading a fascinating biography of Albert Einstein.
biology,生物学,I am studying biology to understand the complexity of life.
bishop,"(新教の)『主教』,『監督』;(カトリック教の)司教;(仏教の)僧正 / (チェスで)ビショップ[のこま]",The bishop delivered a powerful sermon at the church.
bite,"をかむ, をかじる / かむ",The dog tried to bite the intruder.
bitter,"苦い  / つらい　苦しい,きびしい,悲痛な  / (寒気などが)きびしい  / 敵意に満ちた,恨みに思っている  / 冷酷な;しんらつな;彼肉な  / ひどく(bitterly)",This coffee is too bitter.
blame,〈U〉責任；非難,He tried to put the blame on me.
bleed,"出血する,血を流す;血を流して死ぬ  / (切り口などから)〈植物が〉樹液を出す  / (…に)血の出るような思いをする《+for+名》  / 〈絵具・染料などが〉にじむ  / (病気の治療として)〈患者〉‘から'血をとる,放血させる  / (切口・開口部から)〈血・樹液など〉'を'出す  / …‘から'液体(ガス)を抜きとる;(液体・ガスなどを)…‘から'抜きとる《+名+of+名》  / 《話》…‘から'金をしぼり取る",I cut my finger and it started to bleed.
blend,(分離できないほどに)…'を'混ぜ合わせる;(…に)…'を'混ぜる《+名+with+名》  / 混じる;溶け合う  / (…と)調和する《+with+名》(harmonize),The artist skillfully blends the colors to create a beautiful painting.
bless,"〈神などが〉《…を》〈人〉に授ける,に恵む《with ...》 / を祝福する",May God bless you with good health and happiness.
blessing,"神の祝福を求める祈り / (食前の食後の)祈り(grace) / (神の)恩恵,祝福 / 《しばしば複数形で》ありがたいこと(もの),恩恵,幸運","They knelt in the church, offering a prayer for God's blessing."
blind,"目の見えない,盲目の(sightless)  / 《補語にのみ用いて》(…を)見る目がない,気がついていない《+to+名》  / 盲目的な,めくらめっぽうの(reckless)  / (特に車の運転者に)隠れて見えない  / (通りなどが)行き止まりの,出口のない;(建築物が)窓のない",The blind man crossed the street with the help of his guide dog.
block,"〈通路など〉『をふさぐ』,〈通行・進行など〉を妨げる / 〈帽子など〉の型取りをする / (特にアメリカンフットボールで)〈相手選手の突進〉をブロックする;(ボクシングで)〈相手のパンチ〉をブロックする",The police blocked the road.
blog,〈C〉ブログ,I write a new blog post every week.
blogger,ブロガー,I'm a bit down because a blogger friend of mine has decided to stop blogging.
blush,"〈C〉(当惑・恥ずかしさによる)『赤面』 / 〈U〉〈C〉赤み,ばら色",She turned away to hide her blushes.
board,"…‘に'板を張る,'を'板で囲う《+up(over)+名,+名+up(over)》  / …‘に'食事を出す,'を'まかない付で下宿させる  / …‘に'乗り込む  / (…に)まかない付きで下宿する,食事つきで滞在する《+at+名〈場所〉,+with+名〈人〉》",We boarded the ship.
boast,自慢する  / だと自慢する,He always boasts about his achievements at work.
bold,"大胆な,恐れを知らない(fearless)  / ずぶとい,ずうずうしい  / 太くて目立つ;(文字が)肉太の  / けわしい",He made a bold decision to quit his job and start his own business.
boldly,"『大胆に』;ずうずうしく / 際立って,はっきりと",He boldly asked her for a dance.
bomb,爆弾,The police found a bomb in the abandoned building.
bomb,爆撃する,Our town was bombed twice this week.
bond,"〈C〉縛る物 / 《通例複数形で》 束縛 / 《しばしば複数形で》(血縁,義理などの) きずな / 証書, 債券 / 接着;接着剤",The bond between us is unbreakable.
book,(座席・切符・部屋などの)予約をする《+『for』+『名』》,I booked a flight to Tokyo.
booking,(座席や切符などの)予約;(芸能人の)出演契約,I made a booking for a table at the restaurant.
boom,"〈C〉〈遠雷・砲声・波などが〉とどろく音 / にわか景気,急な人気",The sudden boom in the economy has led to an increase in job opportunities.
boot,〈C〉《通例複数形で》(皮・ゴム製の) 長ぐつ /  深ぐつ / 《話》蹴り,I need to buy a new pair of boots for the winter.
border,"ヘリ,縁(ふち)端(はし);端に沿った部分  / (衣服・絵画などの)縁飾り,縁取り  / 国境,境界;国境地方,辺境;《the B-》《米》米国とメキシコとの国境地方;《英》イングランドとスコットとの国境地方",The soldiers patrolled the border to ensure security.
bore,"《…で》をうんざりさせる,退屈させる《with,by ...》",This novel bores me.
boredom,退屈;〈C〉退屈なこと,I always feel a sense of boredom when I have nothing to do.
bother,やっかい,What is all this bother about?
bounce,"〈ボールなどが〉はずむ,はる返る  / 〈人が〉はねる  / …'を'はずませる,はる返らせる",The ball will bounce when it hits the ground.
bound,"《…へ》行く途上にある, 《…》行きの《for ...》 / 《複合語を作って》「…行きの」の意を表す",The train is bound for Tokyo.
bow,"『弓』 / (楽器の)弓 / 弓形,弓形のもの(にじなど) / (リボンなどの)ちょう結び;ちょうネクタイ([[bowtie]]) / (めがねの)つる",He learned how to shoot a bow.
bowl,ボーリングをする / (クリケットで)投球する / 〈車などが〉すべるように走る《along》 / 〈球〉をころがす / (クリケットで)〈球〉を投げる / (ボーリングなどで)〈得点〉を上げる,I bowl every weekend.
boxing,『ボクシング』,He has been training in boxing for years.
bracelet,腕輪,This bracelet is more expensive than that one.
brainstorming,《米》ブレーンストーミング(各人が自由にアイデアを出し合う会議法),We had a productive brainstorming session yesterday.
branch,"枝を出す,枝を広げる  / (川・道・鉄道などが)分岐する",The waterways branch out across the plain.
brand-new,《よい意味で》真新しい,I just bought a brand-new car.
brass,"〈U〉真ちゅう(銅と亜鉛の合金) / 〈C〉《おもに複数形》真ちゅう製器具 / 《しばしば複数形で》金管楽器 / 〈U〉《話》《…する》ずうずうしさ,厚かましさ《to do》",The band played a lively tune on their brass instruments.
bravely,"『勇敢に』,りっぱに",She bravely faced her fears and overcame them.
breakthrough,飛躍的進歩、大発見,The scientist made a breakthrough in cancer research.
breast,"〈C〉胸, 胸部 / 乳房 / 《文》胸中",She felt a lump in her breast and immediately went to see a doctor.
breath,"〈U〉息,呼吸;UC〉1回の吸気(め気)  / 〈C〉(風の)そよぎ;(…の)かすかなかおり《+of+名》  / 〈C〉(…の)ささやき(whisper)《+of+名》",Take a deep breath and relax.
breathless,"息切れした,息もつけない;息を殺した / 《まれ》そよ吹く風もない / 息の絶えた",She ran so fast that she was breathless.
breed,"動物が子を生む, 繁殖する / (家畜) を飼育する, (植物) を育てる / を生む, を生じさせる",She decided to breed her dog with a poodle.
breeding,"繁殖,植殖;詞育 / 育ち,しつけ,教育;(特に)よい育ち",Breeding is an important process for the survival of species.
brick,〈C〉(1個の)れんが  / 〈U〉(材料としての)れんが  / 〈C〉(形が)れんがに似た物,He built a house using bricks.
brief,"短時間の;短期間の(short)  / 言葉数の少ない,簡潔な",I will give you a brief overview of the project.
briefly,"手短に,簡単に, 簡潔に",He briefly explained the situation.
brightly,"『輝いて』,『明るく』;晴れやかに,鮮やかに",The sun shone brightly in the clear blue sky.
broad,幅の広い / 広大な / 寛大な / 広範囲にわたる,She has a broad knowledge of various subjects.
broadcast,(ラジオ・テレビの)放送番組;放送,Record the broadcast on tape.
broccoli,ブロッコリー(カリフラワーに似た植物;茎と花球は食用),I love to eat broccoli with my dinner.
bronze,"〈U〉『青銅』,ブロンズ / 〈C〉青銅製の美術品 / 〈U〉青銅色",The statue was cast in bronze.
brotherhood,"〈U〉兄弟の間がら,兄弟愛;(兄弟のような)親しい間がら / 〈C〉組合,協会;《集合的に》同業者",The bond of brotherhood is unbreakable.
bubble,"〈C〉あわ,あぶく  / 〈U〉あわ立ち,あわ立ちの音  / 〈C〉(すぐ消える)あわのようなこと  / 〈C〉シャボン玉",The children are blowing bubbles.
buddy,"《話》兄貴;仲間,相棒","Hey buddy, how's it going?"
builder,"〈C〉建築業者 / ...を建てる人, ...を形成するもの",The builder constructed a new house in the neighborhood.
bull,〈C〉牛 / 雄 / (株の)買い方,The bull charged at the matador with great force.
bullet,"弾丸,銃弾,小銃弾",He dodged the bullet just in time.
bulletin,"〈C〉公報 / (学会の)会報,紀要",I read the bulletin every morning to stay updated.
bump,に突き当たる / 《…に》を突き当てる《on / against ...》 《…に》突き当たる《into / against ...》 / (車が)ガタガタ揺れて通る,I accidentally bumped into a table.
bunch,"〈C〉《...の》 束, ふさ 《a ~ of ...》 / 《話》《…の》 群れ 《of ...》 / 《米》 多数の..., 大量の... 《a ~ of ...》",I bought a bunch of flowers for my mom's birthday.
burden,"〈C〉荷物, 積荷 / 《...にとっての》 重荷, 負担 《to , on ...》",The burden of responsibility weighed heavily on his shoulders.
bureau,"《米》(通例上部に鏡のついた)『たんす』(chest of drawers) / 《おもに英》(引き出しのついた)大机 / 《米》(官庁の)『局』(《英》[[department]]) / (一般に)『事務所』,事務局",I found an old bureau at the antique store.
burglar,"『夜盗』,強盗",The burglar broke into the house and stole valuable items.
burn,"燃える,焼ける / 焦げる / 光を出す, 熱を出す / を燃やす, を焼く","Don't touch the hot stove, you might burn yourself."
burning,"燃えている,焼けている / 燃えるように熱い;強烈な / 火急の,差し迫った",A burning meteoroid produces a meteor.
burst,"破裂する, 爆発する / 急に...する  / を破裂させる",The balloon burst when it hit the sharp object.
bust,"を破裂させる,を打ち壊す / …をなぐる,を打つ / …を破産させる / ...を逮捕する / 〈軍人〉の階級を下げる / 破裂する,壊れる / 破産する",The police busted the drug ring.
but,"…を除いて,以外に([[except]])",I like all fruits but bananas.
butcher,〈C〉家蓄屠殺業者 / 肉屋 / 虐殺者 / 《米》(列車内・観覧席の)売り子,The butcher cut the meat into small pieces.
buyer,"買い手,購入者  / (小売店などの)仕入れ係,バイヤー",The buyer was impressed with the quality of the product.
cabbage,『キャベツ』 / (食用の)キャベツの葉,I love eating cabbage in my salads.
cabin,"〈C〉(通例,木造1階建ての)小屋 / 船室, 客室",The cabin was built with cedar wood.
cage,鳥かご;(動物の)おり  / 鳥かご(おり)のような物;エレベーターの箱  / 野球の打撃練習用の移動バックネット  / 獄舎,The bird is happily singing in its cage.
calculate,"…'を'見積もる,算定する  / 《受動態で》(ある目的で)…'を'意図する(intend)  / (推理・常識・体験によって)…'を'予想する,判断する,‘と'思う  / 見積もる;計算する",I need to calculate the cost of the project.
calculation,"〈U〉〈C〉計算,見積もり,算定；予想,推定；意図,熟慮",I need to do some calculation for this project.
calculator,計算者  / 計算器機(=calculating machine),Using a calculator is an expedient way to solve complex math problems.
calf,{C}『子牛』 / 〈C〉(象・鯨・アザラシ・鹿などの)幼獣 / 〈U〉=calfskin,The farmer fed the calf with a bottle of milk.
caller,"〈C〉訪問客, 来訪者 / 呼ぶ人, 呼ぶもの / (スクエアダンスで)ステップを大声で指示する人",The caller asked for the manager.
calm,"(海・湖などが)穏やかな,静かな;(天候などが)穏やかな  / (心・態度などが)平静な,落ち着いた(composed)",The lake was calm and peaceful.
calmness,平静さ;落ち着き,She took a deep breath and found calmness in the midst of chaos.
camel,『ラクダ』 / =caisson2,I saw a camel at the zoo.
campsite,キャンプ場(ふつう炊事施設がある),We found a beautiful campsite in the mountains.
canal,『運河』 / (食道・気菅などの)導菅 / (火星の苗面に見える)運河状の地形,The canal is used for transportation of goods.
cancel,"〈約束や注文など〉を取り消す,を無効にする  / (線などを引いて)…を消す《out》〈切手など〉に消印を押す  / 〈事が〉〈相反する事〉を帳消しにする,相殺する《out》  / 〈方程式の左右の共通の項が〉約される,消去される",I need to cancel my reservation.
cancer,〈U/C〉がん / 害悪,She was diagnosed with cancer last year.
candle,『ろうそく』,I lit a candle to create a cozy atmosphere.
canned,《米》『かん詰めの』《英》tinned) / 《話》(レコード・テープに)録音された,I bought some canned vegetables at the grocery store.
canteen,酒保(=post exchange)(兵営内で雑貨・食料などを売る店) / (兵士の)水筒 / (一般工場内の)売店,I had lunch at the canteen.
capable,能力がある / 有能な,She is a capable leader who can handle any challenge.
capacity,"〈U〉(建物などの) 収容力,(容器などの) 容量, 容積 / 〈U〉(人の) 能力 / 〈C〉《...の》資格, 地位《of, as ...》","The stadium has a capacity of 50,000 people."
capsule,"小容器;(薬の)カプセル / (植物の)さく / (生物体の)被のう,被膜 / (宇宙ロケットの)カプセル",I put the medicine in a small capsule.
capture,"〈U〉(…を)つかまえること,(…の)捕獲,逗捕《+of+名》  / 〈C〉捕虜;捕獲した物(動物)",He managed to evade capture by the police.
capture,"〈動物・犯人・敵兵など〉'を'捕える,つかまえる  / 〈物〉'を'手に入れる  / 〈注意・関心など〉'を'ひきつける",We captured the thief.
care,"〈U〉心配,気がかり,悩み  / 〈C〉《しばしば複数形で》心配事,苦労の種  / 〈U〉細心の注意,十二分の用心  / 〈U〉(…の)世話,監督,保護《+for(of)+名》  / 〈C〉関心事,気を配るべきこと",You should give a lot of care to your work.
career,"〈C〉生涯,(一生の)経歴  / 〈C〉(特に専門的訓練を要する)職業  / 〈U〉進展,進行;速力;疾走  / 疾走する,全速力で走る",She has had a successful career in finance.
careless,"(人が)不注意な,軽率な  / 《補語にのみ用いて》(…に)無とんじゃくな,無関心な,(…を)気にしない《+of+名(wh-節)》  / 《名詞の前にのみ用いて》(仕事などが)不注意な,不用意な",He made a careless mistake.
carelessly,"不注意に,うっかり",He carelessly dropped his phone and it broke.
carelessness,"〈U〉不注意,軽率,うかつ",His carelessness caused the accident.
carpet,"(部屋いっぱいに敷く)じゅうたん,もうせん  / 《比喩(ひゆ)的に》一面をおおうもの,辺りいっぱいに広がるもの",I need to buy a new carpet for my living room.
carriage,"〈C〉(特に自家用)『四輪馬車』 / 〈C〉《米》うば車(=baby carriage) / 〈C〉(機械などの)可動部分,往復台;(車付き)砲架,台架 / 〈U〉(歩いたり立ったりしているときの)身のこなし,動作,悌度 / 〈C〉《粟》(列車の)車両,客車 / 〈U〉運搬,輸送,運送料,運賃",I took a ride in a horse-drawn carriage.
carton,"〈C〉カートン(牛乳パックや卵のケースなどのこと), 段ボールの箱；カートン1杯《のA》《of A》",I need a carton to pack my belongings.
cashpoint,《英》現金自動支払機,"With only five euros left in her wallet, Sarah frantically searched for the nearest cashpoint to avoid being stranded for the rest of her evening."
casual,無造作な / 偶然の / くだけた / 無頓着な,She is wearing a casual outfit.
categorize/categorise,"…'を'分類する,範疇に分ける",I need to categorize these documents.
category,(論理学・哲学で)範疇(はんちゅう)(ある体系の中でその内容特質に応じて分けた部門),Logic is a category in philosophy.
cattle,（集合的に）畜牛,The rancher raised a herd of cattle on his farm.
caution,"〈U〉《...への》用心, 注意,慎重さ,用心深さ([[prudence]])《against ...》  / 〈C〉警告の言葉",Caution: Wet floor
cautious,"注意深い,用心深い,慎重な",She is always cautious when crossing the road.
cave,"『ほら穴』,(特に)横穴",I explored the dark cave with a flashlight.
CD-ROM,"＝compact disc [disk] read only memory,シーディーロム(コンパクトディスクを使った記録媒体)",This CD-ROM contains an entire encyclopedia of 30 volumes.
celebrity,"〈U〉名声,高名  / 〈C〉有名人,名士","On encountering the celebrity, they asked for his autograph."
cell,"細胞；独房,監房；電池；通話可能区域；携帯電話；(大組織内の)小グループ",He was locked in a small cell for days.
central,"中心の,中央の,中心からの  / 主要な,中心的な(main)  / (音声が)中舌音の  / 電話交換局(《英》[telephone]exchange)",The central park is a popular spot for picnics.
central heating,集中暖房装置,The house is equipped with central heating.
ceremony,"〈C〉儀式,式典,式【U】(社交上の)礼儀,礼式,作法；形式ばること；うわべだけの行為",The graduation ceremony was held in the school auditorium.
certainty,"〈U〉確実性,必然性;確信  / 〈C〉確実なもの(こと),確かな見込み",I have complete certainty in my decision.
challenging,"挑戦的な / 興味をそそる,魅力的な",It is challenging and I am learning a lot.
champion,チャンピオン；優勝者,He is a tennis champion.
channel,〈C〉水路 / 海峡 / みぞ / 経路 / ルート/周波数帯,I changed the channel to watch my favorite show.
chaos,"〈U〉(天地創造以前の)混とん  / 〈U〉(一般に)混乱状態,無秩序;〈C〉混乱したもの",The world was in chaos before the creation of heaven and earth.
characteristic,"〈C〉特徴,特性",That is a characteristic inherent in him.
characterize/characterise,...の特性を示す / ...の特徴をなす / ...を特徴づける / 《...であると》...の特徴を述べる《as》,The careful analysis of the painting helped to characterize the artist's unique style and use of color.
charge,"〈C〉《...の》費用《for ...》 / 〈U〉監督, 管理 / 〈C〉《...に対する》非難, 告発, 告訴《against ...》 / 〈U〉〈C〉充填  / 〈U〉〈C〉突撃",Will there be an extra charge for that?
charge,"《...に》〈料金・支払い〉を請求する《for ...》 / 〈買物など〉をつけにする / 負荷をかける,充電する / 攻勢をかける",Charge this to my company.
chariot,"(古代の)一人乗り軽二輪戦車(通例2頭立てで,御者は立って操縦し,戦い・競走・狩猟などに用いた)","The chariot raced across the battlefield, pulled by two powerful horses."
charity,"〈U〉博愛 / 慈善, 施し / 〈C〉《通例複数形で》慈善事業,慈善施設",She always donates generously to charity.
charm,魅力，魅了、味がある,She has a natural charm that captivates everyone around her.
chase,〈C〉追跡 / 《the ~》狩猟 / 追われるもの,The dog lay panting after his long chase.
chat,"〈C〉〈U〉《話》(…との)雑談,談笑《+with+名》  / 〈C〉ツグミ類の鳥",Let's have a chat over coffee.
chat show,《英》トークショー,He appeared on a famous chat show.
check-in counter/check-in,(空港の)チェックイン(受付・搭乗手続き)カウンター / (ホテルの)フロント,Where is the check-in counter?
check-in desk/check-in,チェックインデスク,Can you tell me where the check-in desk is?
checkout,(セルフサービスの店の)精算所  / チェックアウト(泊り客がホテルの部屋をあけること;その時刻),I went to the checkout to pay for my groceries.
cheerful,"(人が)『きげんのよい』,元気のいい / (物事が)『気持ちのよい』,楽しい / 喜んで…する(willing)",She always has a cheerful smile on her face.
chemical,化学薬品(製品),The chemicals used in this experiment are hazardous.
chemist,『化学者』 / 《英》=pharmacist,The chemist conducted experiments to develop a new drug.
chemistry,"〈U〉化学 / 化学的性質,化学反応,化学作用",I am studying chemistry at university.
cherish,"〈子供など〉'を'『大事にする』,かわいがる,いつくしむ / 〈思い出・希望など〉'を'『心に抱く』,大切にする",I cherish my family.
chest of drawers,たんす,I bought a new chest of drawers for my bedroom.
chewing gum,『チューインガム』,I always carry chewing gum with me.
chief,"最高位の,長の；主要な,第一の",What is the chief aim of this society?
choir,"《集合的に》(教会の)『聖歌隊』,(一般に)合唱団 / 《単数形で》教会の聖歌隊席",The choir sang beautifully during the church service.
choke,"…の息を止める,を窒息させる / 《…で》…を息苦しくする《with, by ...》 / 《…で》…をいっぱいにする,《…を》…にぎっしり詰める《up, with ...》 / 息が詰まる / 《…で》息苦しくなる《with ...》",He started to choke on his food.
Christian,"『キリストの』;『キリスト教の』,キリスト教徒の / キリスト(キリスト教)を信じる / キリスト教徒にふさわしい / 《話》りっぱな",The Catholic Church is the largest Christian church in the world.
chronological,"年代順の,年代順に配列した",The events are arranged in chronological order.
chuckle,"『くすくす笑い』,含み笑い",She let out a chuckle when she heard the joke.
circle,"円を描く,旋回する  / …'を'円で囲む;…'を'取り囲む  / …‘の'回りを回る",A helicopter circled over us.
circular,"『円形の』,丸い / 回転して動く / 循環的な,旋回する;回遊する",The table in the dining room is circular.
circus,"サーカス  / サーカス団,(特に)地方巡業をするサーカス一座  / (階段座席に囲まれ,しばしば天幕でおおわれた)円形の曲馬場,円形曲芸場  / (古代ローマの)野外大競旗場  / 《英》(放射街路の集まる)円形広場",The children chased after the circus parade.
citizenship,"市民権,公民権",She obtained citizenship after living in the country for five years.
